text,job_role
"sql excel tableau business analysis stakeholder reporting",Business Analyst
"business analysis functional requirements use cases process documentation",Business Analyst
"kpi analysis stakeholder management business reporting process improvement",Business Analyst
"requirements elicitation business intelligence excel power bi stakeholder communication",Business Analyst
"python machine learning scikit-learn pandas numpy model training regression classification","Machine Learning Engineer"
"python machine learning feature engineering model evaluation cross validation scikit-learn","Machine Learning Engineer"
"python pandas numpy machine learning random forest logistic regression model evaluation","Machine Learning Engineer"
"machine learning python data preprocessing feature selection classification regression","Machine Learning Engineer"
"python scikit-learn machine learning hyperparameter tuning model validation","Machine Learning Engineer"
"python machine learning supervised learning unsupervised learning pandas numpy","Machine Learning Engineer"
"python feature engineering machine learning cross validation precision recall f1","Machine Learning Engineer"
"python sklearn regression classification model training data preprocessing","Machine Learning Engineer"
"python machine learning decision trees random forest gradient boosting model evaluation","Machine Learning Engineer"
"python pandas numpy scikit-learn predictive modeling feature engineering","Machine Learning Engineer"
"machine learning python classification regression overfitting regularization","Machine Learning Engineer"
"python sklearn model selection hyperparameter optimization cross validation","Machine Learning Engineer"
"python machine learning clustering k-means dimensionality reduction","Machine Learning Engineer"
"python pandas numpy machine learning pipeline preprocessing evaluation","Machine Learning Engineer"
"python scikit-learn natural language processing feature extraction model training","Machine Learning Engineer"
"machine learning python anomaly detection predictive analytics model evaluation","Machine Learning Engineer"
"python feature selection data preprocessing machine learning algorithms sklearn","Machine Learning Engineer"
"python machine learning imbalanced data precision recall confusion matrix","Machine Learning Engineer"
"python sklearn ensemble models regression classification feature engineering","Machine Learning Engineer"
"python machine learning deployment model inference preprocessing pipeline","Machine Learning Engineer"
"python artificial intelligence machine learning deep learning nlp tensorflow APIs","AI Engineer"
"python artificial intelligence machine learning neural networks deep learning computer vision","AI Engineer"
"python natural language processing deep learning transformers artificial intelligence","AI Engineer"
"python generative AI large language models embeddings APIs","AI Engineer"
"python tensorflow pytorch deep learning neural networks computer vision","AI Engineer"
"artificial intelligence machine learning NLP transformers Python model deployment","AI Engineer"
"python LLM embeddings prompt engineering generative AI API development","AI Engineer"
"python deep learning NLP text classification neural networks","AI Engineer"
"python computer vision convolutional neural networks tensorflow","AI Engineer"
"python artificial intelligence deep learning pytorch model deployment","AI Engineer"
"generative AI Python LLM embeddings vector databases APIs","AI Engineer"
"python NLP sentiment analysis transformers machine learning deep learning","AI Engineer"
"python AI computer vision image classification deep learning","AI Engineer"
"python tensorflow pytorch artificial intelligence neural network optimization","AI Engineer"
"python generative AI prompt engineering retrieval augmented generation APIs","AI Engineer"
"python NLP named entity recognition text embeddings transformers","AI Engineer"
"artificial intelligence Python deep learning model serving APIs","AI Engineer"
"python LLM natural language processing embeddings semantic search","AI Engineer"
"python deep learning computer vision object detection tensorflow","AI Engineer"
"python AI machine learning NLP generative AI model integration","AI Engineer"
"python java object oriented programming data structures algorithms git APIs","Software Engineer"
"python java OOP software development data structures algorithms SQL","Software Engineer"
"python REST APIs Git database software engineering object oriented programming","Software Engineer"
"java python data structures algorithms software development debugging Git","Software Engineer"
"python object oriented programming classes inheritance polymorphism APIs","Software Engineer"
"java SQL Git software engineering algorithms database development","Software Engineer"
"python backend development REST API Flask Git database","Software Engineer"
"python data structures algorithms problem solving object oriented programming","Software Engineer"
"java Spring APIs SQL Git software development testing","Software Engineer"
"python Django REST API database Git software engineering","Software Engineer"
"python Java OOP exception handling debugging unit testing Git","Software Engineer"
"software development algorithms data structures API integration database","Software Engineer"
"python backend APIs PostgreSQL Git Docker software engineering","Software Engineer"
"java object oriented programming collections algorithms SQL database","Software Engineer"
"python REST API authentication database testing Git","Software Engineer"
"software engineering version control Git debugging testing code review","Software Engineer"
"python Flask API SQL database backend development","Software Engineer"
"java Python algorithms data structures OOP software development","Software Engineer"
"python API integration database design Git unit testing","Software Engineer"
"software development Python SQL APIs object oriented programming debugging","Software Engineer"
